BuildingID	EnergyRatingCat
464502	C3
464503	C3
464504	C3
464505	C3
464506	C3
464507	C3
464508	C3
464509	C3
464510	C3
464511	C3
464512	C3
464513	C3
464514	C3
464515	C3
464516	C3
464517	C3
464518	C3
464519	C3
464520	C3
464521	C3
464522	C3
464523	C3
464524	C3
464525	C3
464526	C3
464527	C3
464528	C3
464529	C3
464530	C3
464531	C3
464532	C3
464533	C3
464534	C3
464535	C3
464536	C3
464537	C3
464538	C3
464539	C3
464540	C3
464541	C3
464542	C3
464543	C3
464544	B1
464545	C3
464546	C3
464547	C3
464548	C3
464549	C3
464550	C3
464551	C3
464552	C3
464553	C3
464554	C3
464555	C3
464556	C3
464557	C3
464558	C3
464559	C3
464560	C3
464561	C3
464562	C3
464563	C3
464564	C3
464565	C3
464566	C3
464567	C3
464568	C3
464569	C3
464570	C3
464571	C3
464572	C3
464573	C3
464574	C3
464575	C3
464576	C3
464577	C3
464578	C3
464579	C3
464580	C3
464581	C3
464582	C3
464583	C3
464584	C3
464585	C3
464586	C3
464587	C3
464588	C3
464589	B1
464590	C3
464591	C3
464592	C3
464593	C3
464594	C3
464595	B2
464596	C3
464597	C3
464598	C3
464599	C3
464600	C3
464601	C3
464602	C3
464603	C3
464604	C3
464605	C3
464606	C3
464607	B2
464608	C3
464609	C3
464610	C3
464611	C3
464612	C3
464613	C3
464614	C3
464615	C3
464616	C3
464617	C3
464618	C3
464619	C3
464620	C3
464621	C3
464622	C3
464623	C3
464624	C3
464625	C3
464626	C3
464627	C3
464628	C3
464629	C3
464630	C3
464631	C3
464632	C3
464633	C3
464634	C3
464635	C3
464636	C3
464637	C3
464638	C3
464639	C3
464640	C3
464641	C3
464642	C3
464643	C3
464644	C3
464645	C3
464646	C3
464647	C3
464648	C3
464649	C3
464650	C3
464651	C3
464652	C3
464653	C3
464654	C3
464655	C3
464656	C3
464657	C3
464658	C3
464659	C3
464660	C3
464661	C3
464662	C3
464663	C3
464664	C3
464665	C3
464666	C3
464667	C3
464668	C3
464669	C3
464670	B2
464671	C3
464672	C3
464673	C3
464674	C3
464675	C3
464676	C3
464677	C3
464678	C3
464679	C3
464680	C3
464681	C3
464682	C3
464683	C3
464684	C3
464685	C3
464686	C3
464687	C3
464688	C3
464689	C3
464690	C3
464691	C3
464692	C3
464693	C3
464694	C3
464695	C3
464696	C3
464697	C3
464698	C3
464699	C3
464700	C3
464701	C3
464702	C3
464703	C3
464704	C3
464705	C3
464706	C3
464707	C3
464708	C3
464709	C3
464710	C3
464711	C3
464712	C3
464713	C3
464714	C3
464715	C3
464716	C3
464717	C3
464718	C3
464719	C3
464720	C3
464721	C3
464722	C3
464723	C3
464724	C3
464725	C3
464726	C3
464727	C3
464728	C3
464729	C3
464730	C3
464731	C3
464732	C3
464733	C3
464734	C3
464735	C3
464736	C3
464737	C3
464738	C3
464739	C3
464740	C3
464741	B2
464742	C3
464743	C3
464744	C3
464745	C3
464746	C3
464747	C3
464748	C3
464749	C3
464750	C3
464751	C3
464752	C3
464753	C3
464754	C3
464755	C3
464756	C3
464757	C3
464758	C3
464759	C3
464760	C3
464761	C3
464762	C3
464763	C3
464764	C3
464765	C3
464766	C3
464767	C3
464768	C3
464769	C3
464770	C3
464771	C3
464772	C3
464773	C3
464774	C3
464775	C3
464776	C3
464777	C3
464778	C3
464779	B1
464780	C3
464781	C3
464782	C3
464783	C3
464784	C3
464785	C3
464786	C3
464787	C3
464788	C3
464789	C3
464790	C3
464791	C3
464792	C3
464793	C3
464794	C3
464795	C3
464796	C3
464797	C3
464798	C3
464799	C3
464800	C3
464801	C3
464802	C3
464803	C3
464804	C3
464805	C3
464806	C3
464807	C3
464808	C3
464809	C3
464810	C3
464811	C3
464812	C3
464813	C3
464814	C3
464815	C3
464816	C3
464817	C3
464818	C3
464819	C3
464820	C3
464821	C3
464822	C3
464823	C3
464824	C3
464825	C3
464826	C3
464827	C3
464828	C3
464829	C3
464830	C3
464831	C3
464832	C3
464833	C3
464834	C3
464835	C3
464836	C3
464837	C3
464838	C3
464839	C3
464840	C3
464841	C3
464842	C3
464843	C3
464844	C3
464845	C3
464846	C3
464847	C3
464848	C3
464849	C3
464850	C3
464851	C3
464852	C3
464853	C3
464854	C3
464855	C3
464856	C3
464857	C3
464858	C3
464859	C3
464860	C3
464861	C3
464862	C3
464863	C3
464864	C3
464865	C3
464866	C3
464867	C3
464868	C3
464869	C3
464870	C3
464871	C3
464872	C3
464873	C3
464874	C3
464875	B2
464876	C3
464877	C3
464878	C3
464879	C3
464880	C3
464881	C3
464882	C3
464883	C3
464884	C3
464885	C3
464886	C3
464887	C3
464888	B1
464889	C3
464890	C3
464891	C3
464892	C3
464893	C3
464894	C3
464895	C3
464896	C3
464897	C3
464898	C3
464899	C3
464900	C3
464901	C3
464902	C3
464903	C3
464904	C3
464905	C3
464906	C3
464907	C3
464908	C3
464909	C3
464910	A3
464911	C3
464912	C3
464913	C3
464914	C3
464915	C3
464916	C3
464917	C3
464918	C3
464919	C3
464920	C3
464921	C3
464922	C3
464923	C3
464924	C3
464925	C3
464926	C3
464927	C3
464928	B1
464929	C3
464930	C3
464931	C3
464932	C3
464933	C3
464934	C3
464935	C3
464936	C3
464937	C3
464938	C3
464939	C3
464940	C1
464941	C3
464942	C3
464943	C3
464944	C3
464945	C3
464946	C3
464947	C3
464948	C3
464949	C3
464950	C3
464951	C3
464952	C3
464953	C3
464954	C3
464955	C3
464956	C3
464957	C3
464958	C3
464959	C3
464960	C3
464961	C3
464962	C3
464963	C3
464964	C3
464965	C3
464966	C3
464967	C3
464968	C3
464969	C3
464970	B1
464971	C3
464972	C3
464973	C3
464974	C3
464975	C3
464976	C3
464977	C3
464978	C3
464979	C3
464980	C3
464981	C3
464982	C3
464983	C3
464984	B1
464985	C3
464986	C3
464987	C3
464988	C3
464989	C3
464990	C3
464991	C3
464992	C3
464993	C3
464994	C3
464995	C3
464996	C3
464997	C3
464998	C3
464999	C3
465000	C3
465001	C3
465002	C3
465003	C3
465004	C3
465005	C3
465006	C3
465007	C3
465008	B2
465009	C3
465010	C3
465011	C3
465012	C3
465013	C3
465014	C3
465015	C3
465016	C3
465017	C3
465018	C3
465019	C3
465020	C3
465021	C3
465022	C3
465023	C3
465024	C3
465025	C3
465026	C3
465027	C3
465028	C3
465029	C3
465030	C3
465031	C3
465032	C3
465033	C3
465034	C3
465035	C3
465036	C3
465037	C3
465038	C3
465039	C3
465040	C3
465041	C3
465042	C3
465043	C3
465044	C3
465045	C3
465046	C3
465047	C3
465048	C3
465049	C3
465050	C3
465051	C3
465052	C3
465053	C3
465054	C3
465055	C3
465056	C3
465057	C3
465058	C3
465059	C3
465060	C3
465061	C3
465062	C3
465063	C3
465064	C3
465065	C3
465066	C3
465067	C3
465068	C3
465069	C3
465070	C3
465071	C3
465072	C3
465073	C3
465074	C3
465075	C3
465076	C3
465077	C3
465078	C3
465079	C3
465080	C3
465081	C3
465082	C3
465083	C3
465084	C3
465085	C3
465086	C3
465087	C3
465088	C3
465089	C3
465090	C3
465091	C3
465092	C3
465093	C3
465094	C3
465095	C3
465096	C3
465097	C3
465098	C3
465099	C3
465100	C3
465101	C3
465102	C3
465103	C3
465104	C3
465105	C3
465106	C3
465107	C3
465108	C3
465109	C3
465110	C3
465111	C3
465112	C3
465113	C3
465114	C3
465115	C3
465116	C3
465117	C3
465118	C3
465119	C3
465120	C3
465121	C3
465122	C3
465123	C3
465124	C3
465125	C3
465126	C3
465127	C3
465128	C3
465129	C3
465130	C3
465131	C3
465132	C3
465133	C3
465134	C3
465135	C3
465136	C3
465137	C3
465138	C3
465139	C3
465140	C3
465141	C3
465142	C3
465143	C3
465144	C3
465145	C3
465146	C3
465147	C3
465148	C3
465149	C3
465150	C3
465151	C3
465152	C3
465153	C3
465154	C3
465155	C3
465156	C3
465157	C3
465158	C3
465159	C3
465160	C3
465161	C3
465162	C3
465163	C3
465164	C3
465165	B2
465166	C3
465167	C3
465168	C3
465169	C3
465170	C3
465171	C3
465172	C3
465173	C3
465174	C3
465175	C3
465176	C3
465177	C3
465178	C3
465179	C3
465180	C3
465181	C3
465182	C3
465183	C3
465184	C3
465185	C3
465186	C3
465187	C3
465188	C3
465189	C3
465190	C3
465191	C3
465192	C3
465193	C3
465194	C3
465195	C3
465196	C3
465197	C3
465198	C3
465199	C3
465200	C3
465201	C3
465202	C3
465203	C3
465204	C3
465205	C3
465206	C3
465207	C3
465208	C3
465209	C3
465210	C3
465211	C3
465212	C3
465213	C3
465214	C3
465215	C3
465216	C3
465217	C3
465218	C3
465219	C3
465220	C3
465221	C3
465222	C3
465223	C3
465224	C3
465225	C3
465226	C3
465227	C3
465228	C3
465229	C3
465230	C3
465231	C3
465232	C3
465233	C3
465234	C3
465235	C3
465236	C3
465237	C3
465238	C3
465239	C3
465240	C3
465241	C3
465242	C3
465243	C3
465244	C3
465245	C3
465246	C3
465247	C3
465248	C3
465249	C3
465250	C3
465251	C3
465252	C3
465253	C3
465254	C3
465255	C3
465256	C3
465257	C3
465258	C3
465259	C3
465260	C3
465261	C3
465262	C3
465263	C3
465264	C3
465265	C3
465266	C3
465267	C3
465268	C3
465269	C3
465270	C3
465271	C3
465272	C3
465273	C3
465274	C3
465275	C3
465276	C3
465277	C3
465278	C3
465279	C3
465280	C3
465281	C3
465282	C3
465283	C3
465284	C3
465285	C3
465286	C3
465287	C3
465288	C3
465289	C3
465290	C3
465291	C3
465292	C3
