id,num_pax_000_014_mins_before_sdt,num_pax_015_029_mins_before_sdt,num_pax_030_044_mins_before_sdt,num_pax_045_059_mins_before_sdt,num_pax_060_074_mins_before_sdt,num_pax_075_089_mins_before_sdt,num_pax_090_104_mins_before_sdt,num_pax_105_119_mins_before_sdt,num_pax_120_134_mins_before_sdt,num_pax_135_149_mins_before_sdt,num_pax_150_164_mins_before_sdt,num_pax_165_179_mins_before_sdt,num_pax_180_194_mins_before_sdt,num_pax_195_209_mins_before_sdt,num_pax_210_224_mins_before_sdt,num_pax_225_239_mins_before_sdt,num_pax_240plus_mins_before_sdt
6921,0,0,2,6,14,20,22,20,15,10,6,4,3,1,1,0,0
6931,0,0,2,7,13,18,21,18,14,8,5,3,2,1,0,0,0
6932,0,0,2,7,13,19,21,18,14,8,6,3,2,1,0,0,0
6933,0,0,2,6,14,19,22,20,15,10,6,4,2,1,1,0,0
6934,0,0,2,7,15,19,21,19,14,9,6,4,3,1,1,0,0
6935,0,0,2,7,13,18,21,18,14,8,5,3,2,1,0,0,1
6936,0,0,2,7,13,18,21,18,14,8,5,3,2,1,0,0,0
6956,0,0,2,6,14,19,22,20,15,10,6,4,3,1,1,0,0
6957,0,0,2,7,14,19,21,18,14,8,6,3,2,1,0,0,0
6958,0,0,2,7,15,19,21,18,14,9,6,4,2,1,1,0,0
6959,0,0,2,7,14,19,22,19,15,9,6,4,2,1,0,0,0
6974,0,0,2,7,13,19,21,18,14,8,6,3,2,1,0,0,0
6975,0,0,2,7,14,19,22,19,15,9,6,3,2,1,0,0,0
6998,0,0,2,7,13,19,21,18,14,8,6,3,2,1,0,0,0
7048,0,0,2,6,14,20,22,20,15,10,7,4,3,1,1,0,0
7116,0,0,2,6,14,19,22,20,15,10,6,4,2,1,1,0,0
7209,0,0,2,7,13,19,21,18,14,8,5,3,2,1,0,0,0
7237,0,0,2,7,14,19,22,19,15,10,6,4,2,1,0,0,0
7238,0,0,2,7,13,18,21,18,14,8,5,3,1,1,0,0,0
7239,0,0,2,7,13,18,20,18,14,8,6,3,2,1,0,0,0
7253,0,0,2,7,13,19,21,19,14,9,6,3,2,1,0,0,0
7262,0,0,2,7,13,19,21,18,14,8,5,3,2,1,0,0,0
7306,0,0,2,7,14,19,21,19,14,9,6,4,3,1,1,0,0
7322,0,0,2,7,14,19,22,19,15,9,6,4,2,1,0,0,0
7337,0,0,2,7,14,19,22,19,15,9,6,4,2,1,0,0,0
7338,0,0,2,7,13,18,20,18,14,8,6,3,2,1,0,0,0
7348,0,0,2,7,13,18,21,18,14,8,5,3,1,1,0,0,1
7356,0,0,2,7,13,19,21,18,14,8,5,3,2,1,0,0,0
7360,0,0,2,7,14,19,22,19,15,9,6,4,2,1,0,0,0
7401,0,0,2,7,13,18,21,18,14,8,5,3,2,1,0,0,1
7402,0,0,2,6,14,19,22,20,15,10,7,4,3,1,1,0,0
7443,0,0,2,6,14,20,22,19,15,9,6,3,2,1,0,0,1
7444,0,0,2,7,13,19,21,18,14,8,5,3,2,1,0,0,0
7445,0,0,2,6,14,19,21,20,15,10,6,4,3,1,1,0,0
7461,0,0,2,6,14,20,22,20,15,10,6,4,3,1,1,0,0
7462,0,0,2,6,14,20,21,20,15,9,6,4,2,1,1,0,0
7463,0,0,2,6,14,19,21,19,14,9,6,4,3,1,1,0,0
7464,0,0,2,7,13,19,21,18,14,8,6,3,2,1,0,0,0
7465,0,0,2,7,14,19,21,19,14,9,6,4,3,1,1,0,0
7480,0,0,2,7,13,19,21,18,14,8,6,3,2,1,0,0,0
7512,0,0,2,6,14,19,21,19,15,9,6,3,2,1,0,0,1
7513,0,0,2,6,14,20,22,20,15,10,7,4,3,1,1,0,0
7514,0,0,2,6,14,20,22,20,15,10,7,4,3,1,1,0,0
7538,0,0,2,7,13,18,21,18,14,8,6,3,2,1,0,0,0
7579,0,0,2,6,14,19,21,19,14,9,6,4,3,1,1,0,0
