id,num_pax_000_014_mins_before_sdt,num_pax_015_029_mins_before_sdt,num_pax_030_044_mins_before_sdt,num_pax_045_059_mins_before_sdt,num_pax_060_074_mins_before_sdt,num_pax_075_089_mins_before_sdt,num_pax_090_104_mins_before_sdt,num_pax_105_119_mins_before_sdt,num_pax_120_134_mins_before_sdt,num_pax_135_149_mins_before_sdt,num_pax_150_164_mins_before_sdt,num_pax_165_179_mins_before_sdt,num_pax_180_194_mins_before_sdt,num_pax_195_209_mins_before_sdt,num_pax_210_224_mins_before_sdt,num_pax_225_239_mins_before_sdt,num_pax_240plus_mins_before_sdt
6921,0,0,3,11,23,26,26,22,16,9,6,4,3,1,0,0,0
6931,0,0,2,11,18,22,16,29,10,13,2,3,1,0,1,0,1
6932,0,0,2,8,10,19,17,17,11,9,7,3,1,1,1,1,0
6933,0,0,3,9,22,26,25,20,18,10,4,4,2,2,0,0,1
6934,0,0,0,8,11,18,25,26,23,14,10,6,2,0,1,0,0
6935,0,0,0,7,10,11,15,24,21,14,8,5,1,0,0,0,1
6936,0,0,1,1,2,3,4,6,2,2,0,1,0,0,0,0,0
6956,0,0,2,12,15,18,17,20,13,10,5,3,2,1,0,0,0
6957,0,0,0,1,14,27,18,10,16,8,8,3,2,0,0,0,0
6958,0,0,1,6,13,19,23,29,18,15,8,5,3,0,0,0,1
6959,1,1,2,4,11,21,19,12,22,11,4,3,1,0,1,0,1
6974,0,0,5,22,34,26,24,11,8,2,1,1,0,0,3,0,0
6975,0,0,0,8,10,15,23,30,21,12,6,3,2,0,0,0,0
6998,0,0,0,4,7,6,12,37,5,6,4,2,1,1,1,0,1
7048,0,0,2,9,19,22,26,21,13,9,10,2,3,1,0,0,0
7116,0,0,0,0,30,4,3,0,0,0,0,0,0,0,0,0,0
7209,0,0,1,8,17,21,31,22,19,5,4,4,1,0,0,0,0
7237,0,0,1,6,18,23,32,23,22,12,5,3,5,0,0,0,1
7238,0,0,2,6,29,34,22,20,19,10,1,0,0,0,0,0,0
7239,0,0,0,9,11,11,26,26,20,2,0,0,0,0,0,0,0
7253,0,0,1,9,19,21,27,11,12,7,8,2,0,1,0,0,0
7262,0,0,2,5,10,8,9,7,5,2,1,1,0,0,0,0,0
7306,0,0,0,9,23,33,32,26,15,7,4,3,0,0,0,0,0
7322,0,0,1,6,10,22,40,33,20,8,3,3,2,0,0,0,0
7337,0,0,2,4,8,9,4,6,6,2,2,0,0,0,0,0,2
7338,0,0,1,10,19,20,20,18,5,2,1,1,0,0,0,0,0
7348,3,2,3,7,16,20,21,24,13,12,8,11,0,0,0,0,0
7356,0,0,3,10,22,39,18,13,7,1,8,0,0,0,0,0,0
7360,0,0,1,3,9,8,3,2,0,0,0,0,0,0,0,0,0
7401,0,0,0,5,7,10,8,11,3,4,2,3,0,1,0,0,1
7402,0,0,0,4,9,20,22,28,25,15,9,5,2,0,0,0,0
7443,16,4,4,16,9,20,18,28,31,23,12,10,10,4,1,1,0
7444,0,0,1,6,15,25,40,27,19,11,4,4,4,0,0,0,1
7445,0,0,0,10,33,7,4,5,0,0,0,0,0,0,0,0,0
7461,0,0,10,20,11,23,30,13,0,0,0,0,0,0,0,0,0
7462,0,0,1,7,13,20,28,24,21,16,10,3,2,0,0,0,0
7463,0,0,3,3,3,10,4,4,5,2,1,1,0,0,0,0,1
7464,0,0,0,4,13,25,25,28,21,11,5,7,1,0,0,0,1
7465,0,0,1,5,12,17,31,30,12,24,5,17,13,0,0,0,1
7480,0,0,1,3,10,10,21,17,12,4,1,0,0,0,0,0,0
7512,0,0,1,9,25,19,19,14,6,5,3,0,0,0,1,0,0
7513,0,0,0,1,9,28,42,35,28,16,6,0,0,0,0,0,0
7514,0,0,0,5,20,30,37,42,11,0,1,0,0,0,0,0,1
7538,0,0,0,5,15,26,24,21,25,19,10,5,0,0,0,0,0
7579,0,0,1,13,15,20,33,30,16,9,6,2,1,1,0,0,1
7580,0,0,4,15,16,33,28,24,13,7,5,2,1,0,1,0,2
7581,0,0,2,10,29,26,28,23,13,9,4,2,2,1,1,0,1
7582,0,0,3,11,23,27,28,22,19,8,3,1,0,0,0,0,1
7591,0,0,2,14,36,37,20,14,17,12,2,0,0,0,0,0,0
7599,0,0,2,6,19,18,21,28,13,7,7,5,1,1,0,0,1
7628,0,0,3,4,12,26,43,22,19,13,4,2,1,1,0,0,1
7642,0,0,1,2,10,28,42,27,19,22,5,1,0,0,0,0,0
7723,0,0,8,25,21,32,21,13,16,6,4,0,0,0,0,0,0
7735,0,0,2,7,13,22,21,13,8,2,0,0,0,0,0,0,0
7736,0,0,0,5,16,22,26,8,4,3,0,0,0,0,0,0,0
7749,0,0,5,9,29,26,24,18,12,4,2,2,0,0,0,0,0
7820,0,0,3,5,16,27,44,14,13,8,5,4,1,0,0,0,0
7871,0,0,3,6,10,9,11,6,5,1,1,1,0,0,0,0,0
7872,0,0,2,5,16,24,25,23,15,13,7,10,4,2,1,1,0
7906,0,0,0,0,4,9,13,23,33,33,25,24,23,11,4,2,2
7907,0,0,0,3,5,8,11,8,5,5,3,4,0,1,0,0,2
7908,0,0,1,2,6,6,3,6,1,3,1,0,0,2,0,1,0
7909,0,0,2,7,14,26,22,20,21,13,9,2,1,0,1,0,1
7941,0,0,2,6,21,32,26,22,9,7,7,1,0,0,0,0,0
7971,0,0,1,8,17,19,23,17,16,7,6,3,3,1,0,0,0
7999,0,0,2,10,15,31,24,12,4,2,1,1,0,0,0,0,0
8000,0,0,0,1,9,15,28,33,28,32,39,23,10,8,3,2,0
8001,0,0,3,10,19,22,28,17,16,5,1,0,0,0,0,0,0
8002,0,0,28,9,7,1,7,1,2,0,0,0,0,0,0,0,0
8027,0,0,2,8,16,25,22,13,17,13,3,0,1,0,0,0,0
8028,0,0,0,8,16,24,40,26,30,12,2,0,0,0,0,0,0
8029,0,0,0,5,9,9,12,12,10,5,2,1,2,0,0,0,0
8030,0,0,4,11,16,28,28,26,13,11,8,4,1,1,0,0,2
8031,0,0,1,5,15,23,26,24,15,13,9,3,0,0,0,0,0
8054,0,0,3,13,8,27,16,23,18,10,10,2,0,0,0,0,0
8055,0,0,0,2,7,16,13,16,14,13,19,25,15,11,12,4,23
8056,0,0,1,7,14,23,40,24,27,5,8,5,1,1,0,0,0
8057,0,0,2,11,17,18,10,9,6,4,0,1,0,0,0,0,0
8058,1,0,0,4,12,14,21,26,22,29,11,8,5,2,1,0,0
8079,0,0,0,3,7,19,24,15,14,9,4,2,2,4,0,0,1
8080,0,0,2,3,6,7,4,7,4,4,2,1,0,1,0,1,0
8081,0,0,2,5,18,24,15,19,15,9,5,4,3,0,0,0,1
8096,1,0,1,5,21,17,10,9,2,3,0,1,0,0,0,0,1
8097,0,0,1,6,15,33,26,25,32,9,7,3,0,0,0,0,0
8116,0,0,0,4,6,7,7,7,1,2,0,1,0,0,0,0,0
8117,0,0,2,12,19,19,24,19,8,10,5,4,2,1,0,0,1
8118,0,1,0,5,21,40,46,28,18,5,0,1,0,0,0,0,0
8119,0,1,0,5,21,40,46,28,18,5,0,1,0,0,0,0,0
8120,0,0,2,6,16,21,35,27,23,17,6,4,2,1,0,0,0
8121,0,0,2,6,17,32,33,31,15,13,3,4,0,0,0,0,0
8122,0,0,1,4,12,17,29,25,22,20,12,7,3,1,1,3,1
8123,0,0,4,11,23,31,37,25,16,9,2,3,1,0,0,0,0
8124,0,0,0,0,0,7,30,40,42,18,5,0,0,0,0,0,0
8172,0,0,3,8,18,18,23,17,16,8,4,3,1,0,1,0,0
8195,0,0,0,6,15,19,27,32,24,13,9,5,3,1,0,0,0
8196,0,0,1,8,13,25,37,31,19,12,7,3,1,0,0,0,0
8197,0,0,3,14,29,31,25,14,13,7,2,0,1,0,0,0,0
8198,0,0,0,3,14,24,41,32,24,11,4,3,1,0,0,0,0
8226,0,0,8,13,35,41,30,18,16,6,4,0,0,0,0,0,0
8227,0,0,21,0,8,21,23,68,25,15,2,0,2,0,0,0,0
8228,0,0,1,4,5,23,44,28,7,6,5,7,17,8,0,0,0
8252,0,0,7,8,17,23,71,6,17,4,1,0,0,0,0,0,0
8253,0,0,2,7,18,28,28,26,14,13,17,3,1,1,0,0,0
8271,0,0,2,9,18,18,17,15,8,8,7,2,2,1,1,0,1
8302,0,0,0,2,6,13,21,28,25,13,9,4,0,0,0,0,0
8318,0,0,5,7,14,21,26,23,20,10,6,2,1,0,0,0,1
8342,0,0,1,5,11,27,29,31,19,14,7,2,1,0,0,0,0
8343,0,0,2,8,14,27,25,26,26,7,6,4,4,2,1,0,3
8385,0,0,0,6,5,7,5,2,2,1,0,0,0,0,0,0,0
8426,0,0,0,11,13,31,29,19,25,17,7,4,2,1,0,0,2
8453,0,0,1,5,11,20,23,21,21,9,6,3,2,1,0,0,1
8476,0,0,2,11,26,23,62,33,10,2,3,1,0,0,0,0,0
8477,0,0,0,2,2,4,1,7,3,0,3,0,3,0,0,0,0
8495,0,0,1,10,13,16,16,17,9,10,9,4,2,3,1,0,3
8504,0,0,3,6,16,37,64,16,17,6,0,1,0,0,0,0,0
8532,10,2,2,7,10,22,19,18,18,9,7,6,4,0,0,1,0
8553,0,0,3,5,19,9,30,34,18,13,16,1,4,2,0,0,1
8554,0,0,3,6,17,38,44,23,11,3,2,0,1,0,0,0,0
8577,0,0,2,2,2,10,29,21,20,19,0,0,0,0,0,0,0
8603,0,0,0,3,13,18,24,21,13,9,3,1,1,1,0,0,0
8618,0,0,0,5,9,6,14,6,4,3,2,1,0,0,0,0,2
8619,0,0,1,6,16,27,28,25,9,9,11,3,1,1,0,0,0
8648,0,0,0,6,14,25,42,38,26,10,10,3,1,0,0,0,0
8659,0,0,1,9,20,23,18,23,28,9,4,6,0,1,0,0,1
8660,0,0,0,7,13,25,27,26,21,12,5,6,10,0,0,0,0
8713,0,0,0,2,3,7,9,21,22,23,21,22,15,12,4,1,2
8759,0,0,0,1,0,1,6,3,2,0,5,1,0,0,0,0,0
8760,0,0,2,8,10,22,19,27,15,18,15,6,2,1,1,1,1
8788,0,0,2,2,5,11,11,14,6,5,2,1,0,0,0,0,0
8789,0,1,6,11,22,36,30,19,15,9,4,1,0,0,0,0,0
8800,0,0,6,25,49,38,13,9,9,4,6,1,0,0,0,0,0
8816,0,0,0,2,4,10,8,7,6,5,6,0,0,0,0,0,3
8817,0,0,0,3,14,25,24,32,23,19,14,5,6,3,0,0,1
8857,0,0,3,8,19,22,22,20,18,8,7,2,1,0,0,0,0
8858,0,0,1,4,10,8,8,5,5,2,4,0,2,1,0,0,1
8872,0,0,0,4,8,27,44,28,15,14,3,7,8,1,0,0,0
8886,0,0,6,5,9,15,10,30,21,44,14,11,24,38,23,11,27
8902,0,0,0,5,13,19,26,26,18,18,10,3,2,0,0,0,0
8915,0,0,1,3,9,13,21,27,19,10,5,2,1,0,0,0,0
8927,0,0,1,11,17,24,15,13,6,8,2,2,4,1,0,0,1
8928,0,0,1,7,12,13,13,12,9,8,3,3,1,1,0,0,0
8942,2,2,4,17,25,21,33,19,25,13,9,5,2,0,0,0,0
8964,0,0,11,28,31,38,15,11,12,3,0,0,0,0,0,0,0
9001,0,0,1,4,6,12,7,5,3,0,0,0,0,0,0,0,2
9017,0,0,2,7,18,24,28,23,15,11,8,4,4,1,0,0,1
9036,0,0,0,7,12,19,22,26,26,18,14,11,6,3,1,0,0
9037,0,0,2,5,15,37,31,35,28,3,4,11,0,0,0,0,0
9060,0,0,1,7,7,21,24,34,20,13,5,6,16,1,2,0,2
9061,0,0,4,10,19,22,20,15,14,11,8,2,3,0,0,0,1
9062,0,0,1,10,17,31,31,23,24,14,5,4,1,0,0,0,1
9077,0,0,2,7,13,14,26,23,16,16,7,5,5,4,2,0,5
9110,0,0,1,1,4,7,9,11,8,2,1,1,1,2,0,0,1
9123,0,0,1,6,31,29,19,21,12,14,1,0,0,0,0,0,0
9124,0,0,2,7,19,31,21,15,10,11,5,2,0,0,0,0,0
9125,0,1,4,13,35,38,26,17,15,4,2,1,0,0,0,0,0
9126,0,0,2,7,13,22,26,22,19,13,5,2,2,0,0,0,0
9144,0,0,0,5,13,19,26,26,18,18,10,3,2,0,0,0,0
9145,0,0,2,8,12,10,11,7,5,2,1,0,0,0,0,0,0
9177,0,0,0,2,12,21,28,11,3,3,0,0,0,0,0,0,0
9199,0,0,0,5,17,19,26,29,25,19,8,8,5,1,0,0,0
9200,0,0,0,3,53,24,20,18,12,2,1,0,0,0,0,0,0
9201,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9216,4,2,3,5,15,21,25,25,24,13,17,8,3,1,0,0,0
9217,0,0,0,1,3,5,16,15,10,9,5,5,3,2,0,2,0
9231,0,0,0,4,14,19,23,36,28,17,13,6,3,2,0,0,0
9232,0,0,1,5,49,40,39,20,5,3,2,0,0,1,0,0,1
9251,0,0,0,8,17,26,24,20,21,11,10,5,2,2,1,0,0
9280,0,1,2,4,9,13,29,30,27,21,20,15,8,8,3,1,1
9295,9,3,1,8,28,17,13,15,5,1,4,1,0,0,0,0,0
9296,0,0,5,11,13,15,15,14,14,9,4,1,0,0,0,0,0
9297,0,1,2,10,20,27,29,31,22,14,4,0,0,0,0,0,0
9315,0,0,1,2,8,12,24,28,20,12,8,1,0,0,0,0,0
9334,0,0,0,13,20,27,21,19,22,16,11,9,0,0,0,0,0
9335,0,0,0,2,8,12,11,10,5,4,2,1,0,0,0,0,0
9336,0,0,1,6,18,24,28,34,30,21,9,4,2,0,0,0,1
9337,0,0,0,13,24,22,31,32,18,19,11,3,0,0,0,0,0
9360,1,0,0,10,18,24,22,22,23,17,16,10,4,3,1,0,0
9361,0,0,0,3,15,13,15,22,22,24,24,15,9,7,1,0,0
9388,0,0,3,10,11,15,21,30,34,39,6,4,2,0,0,0,0
9403,0,0,0,3,12,19,29,30,16,16,10,3,1,0,0,0,0
9404,0,0,0,0,3,6,33,27,19,27,7,21,16,2,0,0,0
9416,0,0,1,7,12,18,24,29,10,15,5,4,1,1,0,0,0
9417,0,1,4,16,27,29,22,15,9,2,0,0,0,0,0,0,0
9431,0,0,9,15,42,15,17,10,18,5,4,3,0,0,0,0,0
9432,0,0,2,5,13,14,20,26,17,6,2,1,0,0,0,0,0
9446,0,0,0,4,9,6,9,6,5,3,2,1,0,0,0,0,1
9447,0,0,1,6,12,21,32,26,22,12,12,4,4,5,1,1,3
