id,TotalOnFlight
10115,29
10116,138
10117,159
10118,166
10119,157
10135,156
10148,64
10160,132
10173,68
10174,180
10192,150
10211,131
10212,226
10213,156
10214,115
10231,144
10232,83
10246,144
10247,117
10248,81
10249,71
10250,164
10263,130
10264,181
10265,153
10282,67
10283,128
10284,159
10293,266
10313,251
10314,208
10315,51
10316,138
10317,187
10318,177
10340,228
10341,136
10342,157
10356,178
10357,72
10358,180
10359,88
10364,120
10365,95
10366,70
10367,158
10373,129
10374,138
10375,171
10399,146
10400,59
10401,160
10402,160
10403,178
10404,154
10405,71
10420,175
10436,137
10454,137
10455,131
10456,212
10457,162
10458,170
10467,161
10468,133
10469,116
10490,98
10491,136
10492,140
10493,144
10494,140
10495,57
10496,58
10497,65
10498,72
10513,141
10514,68
10537,142
10538,159
10539,151
10548,156
10549,115
10550,137
10551,148
10552,148
10553,68
10554,156
10555,51
10581,150
10582,75
10583,189
10592,197
10593,158
10594,157
10595,144
10596,141
10597,136
10598,94
10630,173
10631,243
10632,67
10642,75
10643,68
10644,206
10645,186
10658,227
10659,169
10660,183
10661,193
10675,68
10676,157
10692,147
10693,163
10694,155
10695,69
10711,148
10712,94
10726,87
10727,68
10728,182
10740,156
10756,133
10767,51
10768,68
10780,229
10781,228
10798,144
10799,178
10800,45
10801,32
10802,165
10820,120
10821,165
10822,178
10823,134
10843,162
10844,153
10855,134
10856,268
10857,159
10858,155
10872,111
10873,159
10874,182
10902,50
10005,133
10006,171
10017,115
10018,160
10033,212
10034,75
10035,263
10045,50
10046,63
10047,152
10054,262
10055,148
10056,223
10067,142
10085,142
10086,155
10087,170
10093,135
10094,170
10986,51
11007,212
11008,210
11046,195
11047,139
11076,197
11077,140
11087,52
11088,138
11089,132
11090,140
11104,134
11119,136
11132,113
11155,150
11156,147
11176,152
11177,158
11178,164
11199,124
11200,69
11201,148
11202,150
11219,142
11233,154
11234,115
11235,148
11236,154
11237,153
11238,125
11239,156
11269,67
11270,164
11288,163
11289,70
11290,72
11291,157
11307,147
11308,157
11309,151
11310,169
11335,154
11336,172
11337,170
11370,157
11371,159
11372,23
11400,148
11430,136
11508,252
11509,185
11522,139
11586,137
11587,148
11620,137
11633,111
11634,55
11652,211
11653,54
11677,147
11678,146
11679,139
11709,160
11733,151
11734,132
11735,197
11761,51
11774,150
11789,142
11810,150
11823,150
11824,131
11825,51
11842,10
11859,138
11891,137
11892,143
11893,129
11923,138
11924,145
11962,53
11963,144
11983,146
11984,76
11992,149
11993,149
12006,160
12012,113
12013,55
12024,138
12036,121
12037,183
12046,161
12067,98
12068,144
12077,248
12078,55
12079,150
12080,96
12090,207
12091,144
12092,154
12101,116
12152,57
12153,56
12154,136
12167,117
12168,157
12169,112
12170,163
12185,159
12186,165
12216,160
12217,178
12222,142
12223,157
12224,119
12236,123
12237,63
12253,60
12254,133
12255,144
12273,138
12282,113
12283,54
12289,116
12301,148
12302,147
12309,147
12310,149
12311,157
12312,156
12313,200
12314,147
12315,142
12316,16
12317,112
12324,100
12325,144
12326,152
12327,157
12328,162
12329,141
12330,157
12331,16
12332,150
12339,150
12340,148
12341,158
12342,158
12343,164
12344,159
12352,234
12353,135
12354,139
12364,134
12365,141
12366,146
12367,139
12368,123
12369,146
12370,83
12378,134
12379,148
12380,147
12397,138
12398,55
12399,147
12409,114
12410,12
12411,138
12412,153
12413,147
12414,66
12415,66
12416,148
12417,146
12418,146
12419,154
12420,155
12421,155
12422,165
12433,137
12434,160
12435,149
12436,140
12437,152
12438,150
12450,119
12451,152
12452,137
12453,134
12454,132
12455,152
12456,152
12457,135
12458,71
12468,136
12469,146
12470,52
12478,56
12479,109
12493,53
12494,133
12495,212
12496,158
12510,52
12511,55
12512,137
12513,140
12514,148
12515,154
12516,141
12517,140
12518,137
12519,140
12520,138
12521,156
12535,28
12536,8
12537,63
12538,153
12539,150
12540,79
12558,11
12559,53
12560,118
12561,63
12574,138
12575,137
12576,135
12577,146
12578,142
12579,134
12580,241
12581,177
12601,141
12602,129
12603,144
12604,228
12605,146
12606,156
12623,132
12624,140
12625,135
12626,151
12627,147
12628,134
12629,150
12630,266
12631,151
12632,70
12646,141
12647,56
12648,54
12649,145
12650,145
12651,139
12652,143
12653,63
12654,58
12655,149
12656,160
12657,132
12658,141
12659,142
12660,142
12669,120
12670,148
12671,158
12672,137
12673,148
12674,17
12675,135
12676,222
12677,157
12678,234
12679,145
12680,148
12681,149
12689,139
12690,192
12691,157
12692,153
12693,150
12694,145
12695,153
12696,172
12697,117
12698,132
12699,57
12700,116
12701,98
12702,139
12703,248
12704,196
12716,259
12717,149
12718,148
12719,157
12720,159
12721,139
12722,141
12723,129
12724,147
12725,144
12726,136
12734,63
12735,160
12736,50
12737,135
12738,119
12739,94
12740,143
12741,209
12747,139
12748,128
12749,140
12750,99
12751,145
12754,208
12755,54
12756,143
12757,64
12758,134
12759,131
12760,69
12761,143
12762,59
12763,63
12764,150
12765,147
12766,141
12767,135
12768,135
12769,51
12770,134
12771,95
12772,210
12773,134
12774,173
12775,148
12776,156
12777,144
12778,149
12779,148
12780,149
12781,149
12782,142
12783,16
12784,196
12785,142
12786,148
12787,52
12788,137
12789,228
12790,172
12791,259
12792,150
12793,152
12794,192
12795,144
12796,151
12797,157
12798,57
12799,157
12800,149
12801,153
12802,66
12803,94
12804,213
12805,137
12806,136
12807,151
12808,143
12809,118
12810,134
12811,141
12812,148
12813,158
12814,157
12815,159
12816,141
12817,147
12818,46
12819,133
12820,138
12821,137
12822,131
12823,150
12824,151
12825,143
12826,151
12827,146
12828,147
12829,8
12830,133
12831,134
12832,166
12833,6
12834,139
12835,140
