id,num_pax_000_014_mins_before_sdt,num_pax_015_029_mins_before_sdt,num_pax_030_044_mins_before_sdt,num_pax_045_059_mins_before_sdt,num_pax_060_074_mins_before_sdt,num_pax_075_089_mins_before_sdt,num_pax_090_104_mins_before_sdt,num_pax_105_119_mins_before_sdt,num_pax_120_134_mins_before_sdt,num_pax_135_149_mins_before_sdt,num_pax_150_164_mins_before_sdt,num_pax_165_179_mins_before_sdt,num_pax_180_194_mins_before_sdt,num_pax_195_209_mins_before_sdt,num_pax_210_224_mins_before_sdt,num_pax_225_239_mins_before_sdt,num_pax_240plus_mins_before_sdt
6921,0,0,2,8,15,20,21,18,14,9,6,4,2,1,0,0,1
6931,0,0,2,8,15,20,21,18,14,9,6,4,2,1,0,0,1
6932,0,0,2,8,15,20,21,18,14,9,6,4,2,1,0,0,1
6933,0,0,2,8,15,20,21,18,14,9,6,4,2,1,0,0,1
6934,0,0,2,8,15,20,21,18,14,9,6,4,2,1,0,0,1
6935,0,0,2,8,15,20,21,18,14,9,6,4,2,1,0,0,1
6936,0,0,2,8,15,20,21,18,14,9,6,4,2,1,0,0,1
6956,0,0,2,8,15,20,21,18,14,9,6,4,2,1,0,0,1
6957,0,0,2,8,15,20,21,18,14,9,6,4,2,1,0,0,1
6958,0,0,2,8,15,20,21,18,14,9,6,4,2,1,0,0,1
6959,0,0,2,8,15,20,21,18,14,9,6,4,2,1,0,0,1
6974,0,0,2,8,15,20,21,18,14,9,6,4,2,1,0,0,1
6975,0,0,2,8,15,20,21,18,14,9,6,4,2,1,0,0,1
6998,0,0,2,8,15,20,21,18,14,9,6,4,2,1,0,0,1
7048,0,0,2,8,15,20,21,18,14,9,6,4,2,1,0,0,1
7116,0,0,2,8,15,20,21,18,14,9,6,4,2,1,0,0,1
7209,0,0,2,8,15,20,21,18,14,9,6,4,2,1,0,0,1
7237,0,0,2,8,15,20,21,18,14,9,6,4,2,1,0,0,1
7238,0,0,2,8,15,20,21,18,14,9,6,4,2,1,0,0,1
7239,0,0,2,8,15,20,21,18,14,9,6,4,2,1,0,0,1
7253,0,0,2,8,15,20,21,18,14,9,6,4,2,1,0,0,1
7262,0,0,2,8,15,20,21,18,14,9,6,4,2,1,0,0,1
7306,0,0,2,8,15,20,21,18,14,9,6,4,2,1,0,0,1
7322,0,0,2,8,15,20,21,18,14,9,6,4,2,1,0,0,1
7337,0,0,2,8,15,20,21,18,14,9,6,4,2,1,0,0,1
7338,0,0,2,8,15,20,21,18,14,9,6,4,2,1,0,0,1
7348,0,0,2,8,15,20,21,18,14,9,6,4,2,1,0,0,1
7356,0,0,2,8,15,20,21,18,14,9,6,4,2,1,0,0,1
7360,0,0,2,8,15,20,21,18,14,9,6,4,2,1,0,0,1
7401,0,0,2,8,15,20,21,18,14,9,6,4,2,1,0,0,1
7402,0,0,2,8,15,20,21,18,14,9,6,4,2,1,0,0,1
7443,0,0,2,8,15,20,21,18,14,9,6,4,2,1,0,0,1
7444,0,0,2,8,15,20,21,18,14,9,6,4,2,1,0,0,1
7445,0,0,2,8,15,20,21,18,14,9,6,4,2,1,0,0,1
7461,0,0,2,8,15,20,21,18,14,9,6,4,2,1,0,0,1
7462,0,0,2,8,15,20,21,18,14,9,6,4,2,1,0,0,1
7463,0,0,2,8,15,20,21,18,14,9,6,4,2,1,0,0,1
7464,0,0,2,8,15,20,21,18,14,9,6,4,2,1,0,0,1
7465,0,0,2,8,15,20,21,18,14,9,6,4,2,1,0,0,1
7480,0,0,2,8,15,20,21,18,14,9,6,4,2,1,0,0,1
7512,0,0,2,8,15,20,21,18,14,9,6,4,2,1,0,0,1
7513,0,0,2,8,15,20,21,18,14,9,6,4,2,1,0,0,1
7514,0,0,2,8,15,20,21,18,14,9,6,4,2,1,0,0,1
7538,0,0,2,8,15,20,21,18,14,9,6,4,2,1,0,0,1
7579,0,0,2,8,15,20,21,18,14,9,6,4,2,1,0,0,1
7580,0,0,2,8,15,20,21,18,14,9,6,4,2,1,0,0,1
7581,0,0,2,8,15,20,21,18,14,9,6,4,2,1,0,0,1
7582,0,0,2,8,15,20,21,18,14,9,6,4,2,1,0,0,1
7591,0,0,2,8,15,20,21,18,14,9,6,4,2,1,0,0,1
7599,0,0,2,8,15,20,21,18,14,9,6,4,2,1,0,0,1
7628,0,0,2,8,15,20,21,18,14,9,6,4,2,1,0,0,1
7642,0,0,2,8,15,20,21,18,14,9,6,4,2,1,0,0,1
7723,0,0,2,8,15,20,21,18,14,9,6,4,2,1,0,0,1
7735,0,0,2,7,15,20,21,18,14,9,6,4,2,1,0,0,1
7736,0,0,2,8,15,20,21,18,14,9,6,4,2,1,0,0,1
7749,0,0,2,8,15,20,21,18,14,9,6,4,2,1,0,0,1
7820,0,0,2,8,15,20,21,18,14,9,6,4,2,1,0,0,1
7871,0,0,2,8,15,20,21,18,14,9,6,4,2,1,0,0,1
7872,0,0,2,8,15,20,21,18,14,9,6,4,2,1,0,0,1
7906,0,0,2,8,15,20,21,18,14,9,6,4,2,1,0,0,1
7907,0,0,2,8,15,20,21,18,14,9,6,4,2,1,0,0,1
7908,0,0,2,8,15,20,21,18,14,9,6,4,2,1,0,0,1
7909,0,0,2,8,15,20,21,18,14,9,6,4,2,1,0,0,1
7941,0,0,2,8,15,20,21,18,14,9,6,4,2,1,0,0,1
7971,0,0,2,7,15,20,21,18,14,9,6,4,2,1,0,0,1
7999,0,0,2,8,15,20,21,18,14,9,6,4,2,1,0,0,1
8000,0,0,2,8,15,20,21,18,14,9,6,4,2,1,0,0,1
8001,0,0,2,8,15,20,21,18,14,9,6,4,2,1,0,0,1
8002,0,0,2,8,15,20,21,18,14,9,6,4,2,1,0,0,1
8027,0,0,2,8,15,20,21,18,14,9,6,4,2,1,0,0,1
8028,0,0,2,8,15,20,21,18,14,9,6,4,2,1,0,0,1
8029,0,0,2,8,15,20,21,18,14,9,6,4,2,1,0,0,1
8030,0,0,2,8,15,20,21,18,14,9,6,4,2,1,0,0,1
