id,num_pax_000_014_mins_before_sdt,num_pax_015_029_mins_before_sdt,num_pax_030_044_mins_before_sdt,num_pax_045_059_mins_before_sdt,num_pax_060_074_mins_before_sdt,num_pax_075_089_mins_before_sdt,num_pax_090_104_mins_before_sdt,num_pax_105_119_mins_before_sdt,num_pax_120_134_mins_before_sdt,num_pax_135_149_mins_before_sdt,num_pax_150_164_mins_before_sdt,num_pax_165_179_mins_before_sdt,num_pax_180_194_mins_before_sdt,num_pax_195_209_mins_before_sdt,num_pax_210_224_mins_before_sdt,num_pax_225_239_mins_before_sdt,num_pax_240plus_mins_before_sdt
6921,0,0,2,8,16,21,20,18,13,9,6,4,2,1,0,0,0
6931,0,0,2,9,17,21,21,18,13,8,5,3,2,1,0,0,0
6932,0,0,2,9,16,20,21,18,13,9,6,4,2,1,0,0,1
6933,0,0,2,8,16,20,21,18,13,9,6,4,2,1,0,0,1
6934,0,0,2,8,15,20,21,19,15,10,6,4,2,1,0,0,0
6935,0,0,2,8,15,20,21,19,14,9,6,4,2,1,0,0,0
6936,0,0,2,7,13,17,17,15,11,7,5,3,2,1,0,0,0
6956,0,0,2,9,17,21,21,18,13,9,6,3,2,1,0,0,0
6957,0,0,2,9,17,21,21,19,13,8,5,3,2,1,0,0,0
6958,0,0,2,8,15,20,21,19,14,9,6,4,2,1,0,0,0
6959,0,0,2,8,15,20,21,19,14,9,6,4,2,1,0,0,1
6974,0,0,2,9,17,22,21,18,13,8,5,3,2,1,0,0,0
6975,0,0,2,8,15,21,22,19,14,9,6,4,2,1,0,0,0
6998,0,0,2,7,15,20,21,19,15,10,6,4,2,1,0,0,1
7048,0,0,2,8,15,21,21,19,14,9,6,4,2,1,0,0,1
7116,0,0,2,7,13,17,18,16,12,8,5,3,2,1,0,0,0
7209,0,0,2,8,15,21,22,19,14,9,6,4,2,1,0,0,1
7237,0,0,2,8,16,21,21,18,13,9,6,4,2,1,0,0,1
7238,0,0,2,9,17,22,22,19,14,9,5,3,2,1,0,0,0
7239,0,0,2,8,15,20,21,19,14,9,6,3,2,1,0,0,0
7253,0,0,2,8,15,20,21,18,13,9,6,4,2,1,0,0,1
7262,0,0,2,8,14,18,19,16,12,8,5,3,2,1,0,0,0
7306,0,0,2,8,16,22,22,19,14,9,5,3,2,1,0,0,0
7322,0,0,2,8,16,21,22,19,14,9,6,3,2,1,0,0,0
7337,0,0,2,7,14,19,19,17,12,8,5,3,2,1,0,0,0
7338,0,0,2,8,15,20,21,19,14,9,5,3,2,1,0,0,0
7348,0,0,2,8,15,20,21,19,14,9,6,4,2,1,0,0,0
7356,0,0,2,9,17,22,22,19,13,8,5,3,2,1,0,0,0
7360,0,0,2,8,15,19,19,16,11,7,4,3,1,0,0,0,0
7401,0,0,2,7,14,19,19,17,12,8,5,3,2,1,0,0,0
7402,0,0,2,8,15,21,22,19,14,9,6,4,2,1,0,0,0
7443,0,0,2,7,14,20,21,20,16,12,9,6,4,2,1,0,1
7444,0,0,2,8,16,21,21,19,13,9,6,4,2,1,0,0,1
7445,0,0,2,7,13,18,19,17,13,8,5,3,2,1,0,0,0
7461,0,0,2,8,16,20,20,17,13,8,5,3,2,1,0,0,0
7462,0,0,2,9,16,21,21,18,13,8,5,3,2,1,0,0,0
7463,0,0,2,7,13,18,18,16,12,8,5,3,2,1,0,0,0
7464,0,0,2,8,16,21,21,19,14,9,6,4,2,1,0,0,0
7465,0,0,2,8,16,21,21,19,14,9,6,3,2,1,0,0,0
7480,0,0,2,8,15,19,20,17,12,8,5,3,1,0,0,0,0
7512,0,0,3,10,18,23,23,20,14,9,5,3,2,1,0,0,0
7513,0,0,3,9,17,22,22,19,14,9,5,3,1,1,0,0,0
7514,0,0,3,9,16,21,21,18,13,8,5,3,1,0,0,0,0
7538,0,0,2,9,17,22,23,19,14,8,5,3,2,0,0,0,0
7579,0,0,2,9,16,22,22,19,14,9,6,3,2,1,0,0,0
7580,0,0,2,9,17,22,22,19,14,9,5,3,2,1,0,0,0
7581,0,0,2,8,16,22,22,19,14,9,6,4,2,1,0,0,1
7582,0,0,2,9,17,22,22,19,13,8,5,3,2,1,0,0,0
7591,0,0,2,9,18,23,22,19,13,8,5,3,2,1,0,0,0
7599,0,0,2,8,16,21,21,18,13,8,5,3,2,1,0,0,1
7628,0,0,2,8,15,21,22,19,14,9,6,4,2,1,0,0,1
7642,0,0,2,9,16,21,22,19,14,9,6,3,2,1,0,0,0
7723,0,0,2,9,17,22,22,19,14,9,5,3,2,1,0,0,0
7735,0,0,2,9,17,22,22,19,14,8,5,3,2,1,0,0,0
7736,0,0,2,8,15,20,21,19,14,9,5,3,2,1,0,0,0
7749,0,0,2,8,16,22,22,19,14,9,6,3,2,1,0,0,0
7820,0,0,2,8,15,21,22,19,14,9,6,4,2,1,0,0,1
7871,0,0,2,8,14,19,19,16,12,8,5,3,2,1,0,0,0
7872,0,0,2,8,16,21,21,19,14,9,6,3,2,1,0,0,1
7906,0,0,2,7,14,19,21,20,16,12,9,6,4,2,1,0,1
7907,0,0,2,7,14,18,19,17,12,8,5,3,2,1,0,0,0
7908,0,0,2,7,14,18,18,16,11,7,4,3,1,0,0,0,0
7909,0,0,2,9,16,21,22,19,14,9,6,3,2,1,0,0,1
7941,0,0,2,8,16,21,22,19,14,9,6,3,2,1,0,0,0
7971,0,0,2,8,15,20,21,18,14,9,6,4,2,1,0,0,1
7999,0,0,2,8,15,20,20,18,13,8,5,3,2,1,0,0,0
8000,0,0,2,7,15,20,21,20,16,12,9,6,4,2,1,0,1
8001,0,0,2,9,17,22,21,18,13,8,5,3,2,1,0,0,0
8002,0,0,2,8,14,19,19,17,12,8,5,3,2,1,0,0,0
8027,0,0,2,9,17,22,22,19,13,8,5,3,2,1,0,0,0
8028,0,0,2,8,16,21,22,18,13,8,5,3,2,1,0,0,0
8029,0,0,2,8,15,20,21,19,14,9,6,4,2,1,0,0,1
8030,0,0,2,8,16,21,21,18,13,9,6,3,2,1,0,0,1
8031,0,0,2,8,16,21,21,18,13,8,6,3,2,1,0,0,1
8054,0,0,2,8,15,20,21,19,14,8,5,3,2,1,0,0,0
8055,0,0,2,7,14,19,21,20,16,12,9,6,4,2,1,0,2
8056,0,0,2,8,16,21,22,19,14,9,6,4,2,1,0,0,0
8057,0,0,2,9,17,22,22,19,14,8,5,3,2,1,0,0,0
8058,0,0,2,8,15,21,22,20,15,9,6,4,2,1,0,0,0
8079,0,0,2,8,16,20,21,18,13,8,5,3,2,1,0,0,0
8080,0,0,2,7,14,18,19,17,12,8,5,3,2,1,0,0,1
8081,0,0,2,8,15,21,21,19,14,9,6,4,2,1,0,0,1
8096,0,0,2,8,16,20,20,17,12,8,5,3,2,1,0,0,0
8097,0,0,2,9,16,21,21,18,13,8,5,3,2,1,0,0,1
8116,0,0,2,8,15,19,19,16,12,7,5,3,1,0,0,0,0
8117,0,0,2,9,16,21,21,18,13,9,6,4,2,1,0,0,1
8118,0,0,2,8,16,21,22,19,14,9,6,4,2,1,0,0,0
8119,0,0,2,8,16,21,22,19,14,9,6,3,2,1,0,0,0
8120,0,0,2,7,14,19,20,18,14,9,6,4,2,1,0,0,0
8121,0,0,2,9,16,21,22,19,14,8,5,3,2,1,0,0,0
8122,0,0,2,8,15,20,22,19,14,9,6,4,2,1,0,0,0
8123,0,0,2,8,16,21,22,19,14,9,6,3,2,1,0,0,0
8124,0,0,2,8,16,20,21,18,13,8,5,3,2,1,0,0,0
8172,0,0,2,9,17,21,22,19,13,8,6,3,2,1,0,0,0
8195,0,0,2,8,16,21,22,20,15,9,6,4,2,1,0,0,0
8196,0,0,2,9,17,23,23,20,15,10,6,4,2,1,0,0,0
8197,0,0,2,9,17,22,22,19,13,8,5,3,2,1,0,0,0
8198,0,0,2,8,16,21,22,20,14,9,6,4,2,1,0,0,0
8226,0,0,3,10,18,23,24,20,15,9,6,3,2,1,0,0,0
8227,0,0,2,8,15,21,22,20,15,9,6,4,2,1,0,0,1
8228,0,0,2,9,16,21,22,20,14,9,6,3,2,1,0,0,0
8252,0,0,2,8,16,21,22,19,14,9,6,3,2,1,0,0,0
8253,0,0,2,8,16,21,21,18,14,9,6,4,2,1,0,0,1
8271,0,0,2,8,15,20,21,19,14,9,6,4,2,1,0,0,1
8302,0,0,2,9,16,21,22,19,14,9,6,3,2,1,0,0,0
8318,0,0,2,9,17,21,21,18,13,8,5,3,2,1,0,0,0
8342,0,0,2,8,15,21,22,20,14,9,6,4,2,1,0,0,0
8343,0,0,2,8,16,21,21,19,13,9,6,3,2,1,0,0,1
8385,0,0,2,8,15,19,19,16,12,7,5,3,1,0,0,0,0
8426,0,0,2,8,16,22,22,20,14,9,6,4,2,1,0,0,0
8453,0,0,2,8,16,21,22,19,13,8,6,3,2,1,0,0,1
8476,0,0,2,8,16,21,22,20,14,9,6,3,2,1,0,0,0
8477,0,0,2,8,16,21,22,19,14,9,6,4,2,1,0,0,0
8495,0,0,2,8,15,20,21,19,14,9,6,4,2,1,0,0,1
8504,0,0,2,8,16,21,22,19,14,9,6,3,2,1,0,0,0
8532,0,0,2,8,15,20,22,20,15,10,6,4,2,1,0,0,1
8553,0,0,2,8,16,21,21,19,14,9,6,4,2,1,0,0,0
8554,0,0,2,8,16,21,22,19,14,9,6,4,2,1,0,0,0
8577,0,0,2,8,16,21,22,20,15,9,6,4,2,1,0,0,0
8603,0,0,2,9,17,21,21,18,13,8,5,3,2,1,0,0,0
8618,0,0,2,7,14,18,19,17,12,8,5,3,2,1,0,0,1
8619,0,0,2,8,16,21,22,19,14,9,6,4,2,1,0,0,0
8648,0,0,2,8,16,21,22,20,15,9,6,4,2,1,0,0,0
8659,0,0,2,8,16,21,21,19,14,9,6,4,2,1,0,0,0
8660,0,0,2,7,15,20,22,20,15,10,6,4,2,1,0,0,1
8713,0,0,2,7,14,19,21,20,16,12,9,6,4,2,1,0,1
8759,0,0,2,8,15,20,21,20,16,11,9,6,4,2,1,0,1
8760,0,0,2,8,14,19,20,18,13,9,6,3,2,0,0,0,0
8788,0,0,2,8,14,19,19,17,12,8,5,3,2,1,0,0,0
8789,0,0,2,9,16,21,22,20,14,9,6,3,2,1,0,0,0
8800,0,0,2,9,17,22,21,18,13,8,5,3,2,1,0,0,0
8816,0,0,2,7,13,18,19,17,12,8,5,3,2,1,0,0,1
8817,0,0,2,8,15,21,22,20,15,9,6,4,2,1,0,0,1
8857,0,0,2,9,16,21,21,18,13,8,6,3,2,1,0,0,0
8858,0,0,2,7,14,19,19,17,12,8,5,3,2,1,0,0,0
8872,0,0,2,8,15,20,22,20,15,10,6,4,2,1,0,0,1
8886,0,0,2,8,15,21,22,21,17,12,9,6,4,2,1,0,1
8902,0,0,2,8,16,21,22,20,15,10,6,4,2,1,0,0,0
8915,0,0,2,8,15,20,21,18,13,9,6,3,2,1,0,0,0
8927,0,0,2,9,17,22,21,18,13,8,5,3,2,1,0,0,0
8928,0,0,2,8,16,21,21,18,14,9,6,4,2,1,0,0,1
8942,0,0,2,8,16,21,22,20,15,10,6,4,2,1,0,0,0
8964,0,0,2,9,16,22,23,20,14,9,6,3,2,1,0,0,0
9001,0,0,2,8,15,19,19,17,12,8,5,3,2,1,0,0,0
9017,0,0,2,8,15,20,21,18,14,9,6,4,2,1,0,0,1
9036,0,0,2,8,16,21,22,19,15,10,7,4,2,1,0,0,0
9037,0,0,2,9,17,22,22,19,14,9,6,3,2,1,0,0,0
9060,0,0,2,8,15,20,22,20,15,10,6,4,2,1,0,0,1
9061,0,0,2,8,16,21,22,19,14,9,6,4,2,1,0,0,1
9062,0,0,2,8,16,21,22,20,14,9,6,4,2,1,0,0,0
9077,0,0,2,8,15,21,22,20,15,10,6,4,2,1,0,0,0
9110,0,0,2,7,14,19,19,17,12,8,5,3,2,1,0,0,0
9123,0,0,2,9,16,21,21,18,13,8,5,3,1,0,0,0,0
9124,0,0,2,8,16,21,22,20,14,9,6,3,2,1,0,0,0
9125,0,0,2,9,17,22,23,19,14,9,5,3,2,1,0,0,0
9126,0,0,2,8,16,21,21,18,13,8,5,3,2,1,0,0,0
9144,0,0,2,8,16,21,22,20,15,10,6,4,2,1,0,0,0
9145,0,0,2,8,14,19,19,16,12,8,5,3,2,1,0,0,0
9177,0,0,2,8,15,20,21,19,14,9,6,3,2,1,0,0,0
9199,0,0,2,8,15,21,22,20,15,9,6,4,2,1,0,0,1
9200,0,0,2,9,17,22,22,19,14,9,5,3,2,1,0,0,0
9201,0,0,2,8,14,19,21,19,14,9,6,4,2,1,0,0,1
9216,0,0,2,8,15,20,21,19,14,9,6,4,2,1,0,0,0
9217,0,0,2,7,13,18,19,17,13,8,5,3,2,1,0,0,0
9231,0,0,2,8,15,21,22,20,15,10,6,4,2,1,0,0,0
9232,0,0,2,8,16,21,22,19,14,9,6,4,2,1,0,0,1
9251,0,0,2,8,16,21,21,18,13,9,6,4,2,1,0,0,1
9280,0,0,2,7,14,20,21,19,16,12,9,6,4,2,1,0,1
9295,0,0,2,9,16,21,21,18,13,8,5,3,2,0,0,0,0
9296,0,0,2,9,16,20,21,18,13,8,5,3,2,1,0,0,0
9297,0,0,2,9,17,22,23,20,15,9,6,4,2,1,0,0,0
9315,0,0,2,8,16,20,21,19,13,8,5,3,2,1,0,0,0
9334,0,0,2,9,17,22,23,20,14,9,5,3,2,0,0,0,0
9335,0,0,2,7,14,19,19,17,12,8,5,3,2,1,0,0,0
9336,0,0,2,8,15,21,22,19,14,9,6,4,2,1,0,0,0
9337,0,0,2,8,16,22,23,20,15,9,6,4,2,1,0,0,0
9360,0,0,2,8,15,20,21,19,14,9,6,4,2,1,0,0,0
9361,0,0,2,8,15,21,22,20,15,10,6,4,2,1,0,0,0
9388,0,0,2,8,16,21,22,19,14,9,6,3,2,1,0,0,0
9403,0,0,2,8,16,21,22,20,15,10,6,4,2,1,0,0,0
9404,0,0,2,9,16,21,22,19,14,9,6,4,2,1,0,0,0
9416,0,0,2,8,15,20,22,19,14,9,6,4,2,1,0,0,1
9417,0,0,2,9,17,22,22,19,13,8,5,3,2,1,0,0,0
9431,0,0,2,8,16,21,22,19,14,9,6,3,2,1,0,0,0
9432,0,0,2,9,16,21,21,19,14,9,5,3,1,0,0,0,0
9446,0,0,2,7,14,18,19,17,12,8,5,3,2,1,0,0,0
