Date,a,b,c,d,e,f,Bonus
09/09/2017,2,8,20,25,33,45,7
06/09/2017,1,4,5,6,18,47,35
02/09/2017,7,11,18,23,28,40,37
30/08/2017,5,12,18,19,29,39,10
26/08/2017,1,16,17,32,34,35,5
23/08/2017,7,19,30,31,37,42,35
19/08/2017,3,12,19,23,37,40,31
16/08/2017,7,16,17,25,31,33,39
12/08/2017,1,19,22,26,44,45,35
09/08/2017,2,7,10,27,29,37,40
05/08/2017,17,20,26,28,36,47,42
02/08/2017,7,12,20,23,25,41,38
29/07/2017,7,18,29,32,34,41,20
26/07/2017,1,6,13,24,37,40,23
22/07/2017,8,14,20,21,41,44,9
19/07/2017,1,5,27,28,32,45,7
15/07/2017,5,10,18,23,36,46,40
12/07/2017,5,6,24,30,38,47,27
08/07/2017,11,31,32,33,38,45,37
05/07/2017,7,16,18,20,24,37,13
01/07/2017,11,13,19,26,38,41,29
28/06/2017,6,10,15,25,34,45,42
24/06/2017,3,20,31,32,43,46,19
21/06/2017,12,15,24,29,33,46,22
17/06/2017,9,14,32,34,40,42,22
14/06/2017,7,10,20,22,40,46,3
10/06/2017,5,6,19,20,24,29,39
07/06/2017,4,9,17,20,23,33,19
03/06/2017,8,10,22,31,36,37,43
31/05/2017,15,31,33,34,36,43,39
27/05/2017,2,5,12,34,41,47,29
24/05/2017,6,16,21,22,30,45,8
20/05/2017,11,17,29,30,38,42,16
17/05/2017,11,32,39,41,42,44,9
13/05/2017,4,16,33,39,43,47,19
10/05/2017,7,8,19,29,36,47,17
06/05/2017,3,7,17,21,22,28,2
03/05/2017,1,15,24,31,35,36,19
29/04/2017,3,12,16,21,39,44,47
26/04/2017,1,16,24,28,39,40,29
22/04/2017,13,17,18,25,26,27,12
19/04/2017,8,18,23,29,30,31,47
15/04/2017,7,9,16,26,40,45,13
12/04/2017,7,14,18,24,25,31,29
08/04/2017,2,7,9,35,41,45,22
05/04/2017,9,10,11,22,30,42,41
01/04/2017,9,16,31,35,37,43,34
29/03/2017,1,8,28,38,40,46,33
25/03/2017,1,4,6,16,18,27,28
22/03/2017,16,22,30,35,36,47,13
18/03/2017,9,11,18,24,30,44,46
15/03/2017,7,9,15,30,37,45,23
11/03/2017,3,11,32,36,37,38,1
08/03/2017,11,13,21,31,32,42,16
04/03/2017,6,12,18,20,41,42,13
01/03/2017,2,15,19,26,37,38,39
25/02/2017,2,12,17,29,32,38,20
22/02/2017,5,9,27,36,38,47,31
18/02/2017,27,32,44,45,46,47,24
15/02/2017,3,10,15,17,34,39,31
11/02/2017,2,16,19,26,28,29,37
08/02/2017,2,6,9,31,41,47,43
04/02/2017,10,21,22,26,42,46,35
01/02/2017,11,13,34,38,40,47,21
28/01/2017,13,14,22,24,25,42,7
25/01/2017,6,7,17,20,25,29,34
21/01/2017,18,21,22,23,24,36,45
18/01/2017,2,12,24,31,34,43,47
14/01/2017,2,4,11,22,25,34,7
11/01/2017,8,12,13,16,19,24,15
07/01/2017,33,36,39,42,45,47,38
04/01/2017,6,10,19,21,43,44,3
31/12/2016,2,8,10,23,27,29,5
28/12/2016,1,12,34,43,45,47,27
24/12/2016,8,10,11,16,40,42,38
21/12/2016,6,10,23,28,37,41,18
17/12/2016,7,20,25,27,41,45,35
14/12/2016,1,7,9,27,35,42,44
10/12/2016,4,5,17,25,36,41,43
07/12/2016,30,36,37,39,43,44,13
03/12/2016,2,6,21,23,29,44,41
30/11/2016,1,5,24,34,39,41,20
26/11/2016,1,19,31,33,37,39,41
23/11/2016,3,8,20,27,28,39,14
19/11/2016,2,13,19,26,29,46,40
16/11/2016,12,14,27,31,37,42,30
12/11/2016,2,9,19,28,32,43,47
09/11/2016,2,15,18,30,33,40,6
05/11/2016,1,16,27,32,35,45,28
02/11/2016,13,27,36,39,41,46,16
29/10/2016,20,25,28,32,38,39,9
26/10/2016,11,21,22,27,30,43,8
22/10/2016,7,9,12,15,28,45,35
19/10/2016,2,11,24,28,37,47,35
15/10/2016,5,10,27,30,32,45,17
12/10/2016,4,6,9,20,29,45,32
08/10/2016,9,18,24,26,27,35,46
05/10/2016,4,17,22,40,42,46,11
01/10/2016,2,5,8,14,40,42,7
28/09/2016,1,2,20,27,32,38,3
24/09/2016,2,7,16,17,27,47,41
21/09/2016,2,19,31,40,43,46,5
