,Date,a,b,c,d,e,f,Bonus
0,1997-12-31,1,6,10,13,18,23,32
1,1997-12-27,7,21,23,25,34,40,12
2,1997-12-24,10,12,16,21,26,36,20
3,1997-12-20,5,10,16,19,27,41,9
4,1997-12-20,14,20,24,27,29,35,39
5,1997-12-17,5,14,16,21,24,25,30
6,1997-12-13,9,16,20,25,38,40,37
7,1997-12-10,10,17,27,31,32,33,11
8,1997-12-06,6,9,14,30,35,40,13
9,1997-12-03,8,15,29,32,39,42,9
10,1997-11-29,4,11,12,31,32,40,26
11,1997-11-26,3,18,22,29,33,37,24
12,1997-11-22,9,10,19,24,27,41,36
13,1997-11-19,4,9,13,21,30,41,42
14,1997-11-15,13,14,26,28,35,36,10
15,1997-11-12,1,6,22,27,36,38,9
16,1997-11-08,2,3,16,19,23,26,18
17,1997-11-05,2,15,23,33,37,42,19
18,1997-11-01,14,22,28,36,41,42,1
19,1997-10-29,3,4,9,22,25,33,20
20,1997-10-25,11,14,25,26,36,38,41
21,1997-10-22,5,10,22,26,28,41,17
22,1997-10-18,9,19,30,31,39,41,10
23,1997-10-15,9,12,16,24,31,34,23
24,1997-10-11,3,6,12,25,30,32,4
25,1997-10-08,2,12,15,19,20,34,39
26,1997-10-04,2,8,21,28,31,35,25
27,1997-10-01,6,9,21,24,39,42,27
28,1997-09-27,6,21,23,24,37,39,31
29,1997-09-24,9,12,15,25,26,40,3
30,1997-09-20,10,12,14,19,34,38,27
31,1997-09-17,6,14,15,22,28,39,24
32,1997-09-13,2,19,23,25,36,38,11
33,1997-09-10,4,7,11,16,21,35,33
34,1997-09-06,1,7,23,26,38,42,41
35,1997-09-06,8,10,15,28,32,40,9
36,1997-09-03,2,10,22,27,35,42,33
37,1997-08-30,3,8,13,15,33,42,7
38,1997-08-27,3,6,15,25,37,41,42
39,1997-08-23,12,23,32,33,35,40,18
40,1997-08-20,7,9,16,17,37,40,27
41,1997-08-16,7,11,17,28,29,33,9
42,1997-08-13,6,8,10,18,23,42,13
43,1997-08-09,9,13,22,27,30,34,35
44,1997-08-06,14,15,29,31,37,39,4
45,1997-08-02,12,17,22,25,31,39,3
46,1997-07-30,18,20,21,30,35,40,23
